steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
9480,Saints Row 2,game,9.99,2009-01-07,72.0,7368.0,1,0,1,http://cdn.akamai.steamstatic.com/steam/apps/9480/header.jpg?t=1479286077
9500,Gish,game,9.99,2007-07-20,80.0,223.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/9500/header.jpg?t=1447351091
9710,Desperados 2: Cooper's Revenge,game,9.99,2008-03-12,66.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9710/header.jpg?t=1472035505
9730,Tycoon City: New York,game,9.99,2008-03-12,67.0,107.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9730/header.jpg?t=1447351142
9760,Act of War: High Treason,game,2.99,2008-03-12,74.0,107.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9760/header.jpg?t=1447351138
9800,Death to Spies,game,4.99,2008-03-12,69.0,463.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9800/header.jpg?t=1466975904
9850,Codename: Panzers - Cold War,game,14.99,2009-05-06,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9850/header.jpg?t=1471957044
9870,Ghostbusters: The Videogame,game,9.99,2009-06-16,74.0,1629.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9870/header.jpg?t=1447352278
9880,Champions Online,game,0.0,2011-06-14,72.0,2259.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9880/header.jpg?t=1478044277
9900,Star Trek Online,game,0.0,2012-01-31,76.0,7692.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9900/header.jpg?t=1480559782
9930,Test Drive Unlimited 2,game,19.99,2011-02-01,72.0,6248.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9930/header.jpg?t=1447353252
9940,Blade Kitten,game,2.99,2014-05-22,52.0,716.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9940/header.jpg?t=1447353463
9960,Haunted House™,game,5.99,2010-09-28,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9960/header.jpg?t=1447353580
9970,Star Raiders,game,9.99,2011-05-11,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9970/header.jpg?t=1447354208
9980,The UnderGarden,game,6.99,2010-11-10,67.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9980/header.jpg?t=1447353643
9990,Ghostbusters: Sanctum of Slime,game,9.99,2011-03-23,43.0,108.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/9990/header.jpg?t=1447354053
10090,Call of Duty: World at War,game,19.99,2008-11-18,83.0,14615.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10090/header.jpg?t=1480110912
10110,Space Quest™ Collection,game,19.99,2009-07-23,,131.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10110/header.jpg?t=1472516706
10120,Aces of the Galaxy™,game,9.99,2009-07-23,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10120/header.jpg?t=1447352326
10130,TimeShift™,game,19.99,2009-07-23,71.0,603.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10130/header.jpg?t=1481829522
10140,3D Ultra™ Minigolf Adventures,game,9.99,2009-07-23,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10140/header.jpg?t=1447351838
10150,Prototype™,game,19.99,2009-06-10,79.0,2399.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10150/header.jpg?t=1464729751
10180,Call of Duty®: Modern Warfare® 2,game,19.99,2009-11-11,86.0,24638.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/10180/header.jpg?t=1480111618
10220,Postal III,game,14.99,2012-02-17,24.0,1115.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10220/header.jpg?t=1464638211
10230,Dead Mountaineer's Hotel,game,9.99,2011-10-28,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10230/header.jpg?t=1447354813
10240,A Stroke of Fate: Operation Valkyrie,game,9.99,2011-10-28,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10240/header.jpg?t=1447354813
10250,PT Boats: Knights of the Sea,game,9.99,2011-10-28,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10250/header.jpg?t=1447354639
10260,PT Boats: South Gambit,game,9.99,2011-10-28,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10260/header.jpg?t=1447354640
10270,Disciples III: Reincarnation,game,9.99,2014-02-14,,544.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10270/header.jpg?t=1447360373
10460,The Club™,game,14.99,2008-02-20,67.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10460/header.jpg?t=1447351238
10500,Empire: Total War™,game,19.99,2009-03-03,90.0,12177.0,1,1,1,http://cdn.akamai.steamstatic.com/steam/apps/10500/header.jpg?t=1447351374
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,game,,2008-08-14,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10520/header.jpg?t=1447351404
10530,Space Siege,game,14.99,2008-08-14,60.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10530/header.jpg?t=1447351419
10680,Aliens vs. Predator™,game,14.99,2010-02-16,68.0,7522.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/10680/header.jpg?t=1447352374
11020,TrackMania Nations Forever,game,0.0,2008-04-16,,5585.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/11020/header.jpg?t=1453844618
11040,Sherlock Holmes - Nemesis,game,9.99,2008-08-07,71.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/11040/header.jpg?t=1464276748
11050,Dracula Origin,game,9.99,2008-08-07,70.0,115.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/11050/header.jpg?t=1478082053
11130,Sherlock Holmes: The Mystery of the Mummy,game,0.0,2009-08-06,61.0,127.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/11130/header.jpg?t=1478618014
